Date,GDP_USD_Millions,Population,Vibranium_Production_Tons,Tourism_Visitors,Education_Expenditure_USD_Millions,Healthcare_Expenditure_USD_Millions,Military_Expenditure_USD_Millions,Technology_Investment_USD_Millions,Energy_Production_Megawatts,Unemployment_Rate,Poverty_Rate
2024-11-05 14:37:05.605710,59441,38643089,496,1363271,3852,3716,8144,12838,34827,0.016667246931581562,0.04270647086511958
2024-11-04 14:37:05.605710,95205,36816423,138,614907,2987,6142,10277,17714,23255,0.0463524693577443,0.06886351333494713
2024-11-03 14:37:05.605710,116485,38233759,255,1481642,3325,3844,11646,16290,20069,0.011073854335510846,0.02916901287117466
2024-11-02 14:37:05.605710,148664,47448744,371,1773358,3101,6302,11167,10999,27884,0.01155812078439277,0.03477134820959531
2024-11-01 14:37:05.605710,93373,37608855,130,907095,3875,5420,11039,15943,22510,0.016179946019696106,0.0738190656133816
2024-10-31 14:37:05.605710,109265,31694200,338,1248169,2532,6244,9320,11909,37425,0.02268390679862224,0.03953420682456249
2024-10-30 14:37:05.605710,133721,33822131,464,1328635,2246,4217,9286,11650,30647,0.04213928322836017,0.05199761436437032
2024-10-29 14:37:05.605710,138390,36842192,377,1271145,3051,6078,11148,18614,37694,0.035992238786847416,0.04529480879887937
2024-10-28 14:37:05.605710,134970,44727451,359,680391,2090,4801,8572,10062,20208,0.041852551436917046,0.044530150811809284
2024-10-27 14:37:05.605710,147134,36649710,318,1747254,4579,3840,8031,19524,29132,0.012281299784349496,0.028510269791096936
2024-10-26 14:37:05.605710,65450,42792835,467,1174194,2815,6803,11599,15948,24205,0.021490664198341856,0.07824892699104528
2024-10-25 14:37:05.605710,145970,47043584,192,807303,3083,3495,8928,11775,26124,0.010138298669199472,0.061482079695768396
2024-10-24 14:37:05.605710,86747,43354078,193,1523123,4034,3033,11101,18784,24941,0.036844532736029494,0.05800117596735224
2024-10-23 14:37:05.605710,119973,34399752,367,1481575,3086,5774,11575,19087,27522,0.03631903785986879,0.02366980854445784
2024-10-22 14:37:05.605710,82298,47715836,107,1298844,3084,4496,9965,19144,39522,0.02624896632777092,0.06926387072607847
2024-10-21 14:37:05.605710,88242,37280836,225,748443,2525,6809,10208,10771,26424,0.038340744433865724,0.06254679163074475
2024-10-20 14:37:05.605710,50978,45899463,457,1347754,4776,4811,8532,18003,35559,0.021697207050987873,0.05529275093122045
2024-10-19 14:37:05.605710,83357,32443440,277,1241056,4806,4631,11566,17469,34712,0.02212131698005053,0.04506441001910877
2024-10-18 14:37:05.605710,90818,35834556,426,1819640,4920,4477,11620,17103,27187,0.027498231940871067,0.02171529812225284
2024-10-17 14:37:05.605710,128287,45815172,259,615831,2935,5866,9838,10144,32194,0.039369156373749915,0.07267417583506076
2024-10-16 14:37:05.605710,86905,42831357,390,1515194,2392,5428,9556,15844,26047,0.04559527464318171,0.07868160524509119
2024-10-15 14:37:05.605710,98889,37254737,343,1451359,3260,6448,8403,18929,24416,0.0317449843849562,0.05456884718212453
2024-10-14 14:37:05.605710,125376,39992521,290,547272,3178,5578,10643,12854,20950,0.039989041823614326,0.04312524320262018
2024-10-13 14:37:05.605710,103826,41721167,412,1221494,3295,5532,10698,11045,38646,0.03627124181909825,0.06234335483538579
2024-10-12 14:37:05.605710,59963,43987529,106,941707,2248,4591,8425,17350,36854,0.023997175952552928,0.03889989771664491
2024-10-11 14:37:05.605710,144615,44602077,147,584388,4436,3243,10470,14219,38267,0.011858236928801115,0.06201646938734735
2024-10-10 14:37:05.605710,67088,32086514,140,1117884,2524,3106,8752,13738,22584,0.027507686168229344,0.06907513312371859
2024-10-09 14:37:05.605710,107701,38993584,279,1770536,4868,3452,10787,17949,21647,0.03686308379430992,0.06509028348595303
2024-10-08 14:37:05.605710,58148,37410010,202,1529165,4483,4735,8198,13613,34912,0.043660703197745,0.05550287703443918
2024-10-07 14:37:05.605710,58585,49646892,360,558285,3349,5626,9903,11916,39698,0.03465289888397389,0.06955587859812036
2024-10-06 14:37:05.605710,51949,34924897,348,653282,4504,5295,10174,17891,30777,0.03558095684847898,0.048095333038852425
2024-10-05 14:37:05.605710,84479,38136509,417,680476,2525,4025,9234,13747,32884,0.02449826684121758,0.07002276152703722
2024-10-04 14:37:05.605710,86051,43921980,317,1496736,3134,4987,8588,18939,23573,0.03836234523507767,0.03136255106084656
2024-10-03 14:37:05.605710,93763,42202976,137,1947882,2276,3447,9875,12724,36047,0.02514033616882047,0.04993035913550776
2024-10-02 14:37:05.605710,94986,38636496,350,783999,2176,5558,10852,13021,38509,0.04134379186171249,0.022362892818417784
2024-10-01 14:37:05.605710,92668,49599070,174,1445807,2488,5174,9575,11746,32459,0.01527842518332121,0.045300146571558515
2024-09-30 14:37:05.605710,133847,44771016,347,774884,2464,6626,10239,16501,38573,0.024902866431263146,0.06609178123223956
2024-09-29 14:37:05.605710,143400,39038996,394,574620,3892,5048,9370,15839,26610,0.014908991104526429,0.029247557955357703
2024-09-28 14:37:05.605710,54839,36043527,266,945512,4555,4585,10470,12091,27588,0.02122027191733667,0.021468405149217187
2024-09-27 14:37:05.605710,96199,37390423,489,821074,2697,6759,9698,14474,27231,0.026300329152307615,0.034990377295671095
2024-09-26 14:37:05.605710,97404,33943422,243,821726,2067,6895,8141,13224,33957,0.04614132290183373,0.022837124122503438
2024-09-25 14:37:05.605710,125281,35693974,329,896267,4646,3760,8017,19743,21971,0.046317429337457174,0.04977457528913079
2024-09-24 14:37:05.605710,138087,43091907,104,1347043,2346,3714,11153,18913,37907,0.044462093232504545,0.036019951405896256
2024-09-23 14:37:05.605710,95338,35127714,436,977706,2357,4370,9476,18026,22333,0.03131448411498496,0.029484012448282026
2024-09-22 14:37:05.605710,124029,41901101,351,1646145,2397,6804,10426,12811,28094,0.020355546214108247,0.07372604220112715
2024-09-21 14:37:05.605710,136778,45546998,360,1672409,4806,3836,8694,14773,39507,0.014300818079792537,0.029227010652709117
2024-09-20 14:37:05.605710,73408,49046365,460,1700002,4832,3383,8338,14800,30844,0.04870764336618703,0.029199778526121885
2024-09-19 14:37:05.605710,76742,48747791,346,1557579,2940,4115,10563,13635,31033,0.015854672797145985,0.03746169261026708
2024-09-18 14:37:05.605710,132893,47492873,155,1526033,3119,4231,11849,17558,35958,0.0494566878006461,0.04347288777155338
2024-09-17 14:37:05.605710,97124,46372752,188,1811118,3969,4145,11334,14296,38017,0.046472761971819695,0.04966988606893975
2024-09-16 14:37:05.605710,60169,32986912,343,1682357,4192,6288,8395,16347,39207,0.028532794171709328,0.0339421193995606
2024-09-15 14:37:05.605710,144618,48601591,465,541850,4229,6169,8655,11843,20149,0.04779377136526258,0.04471698958789998
2024-09-14 14:37:05.605710,143685,34031394,205,1174692,4249,3125,11625,12870,20979,0.045718663446353176,0.045540139141588616
2024-09-13 14:37:05.605710,109389,47569365,260,772544,4958,3902,10571,12156,29561,0.022030605690256985,0.02052643591111119
2024-09-12 14:37:05.605710,90123,34776146,496,799722,3121,3145,11043,17397,26652,0.046706318862092644,0.07373085089391886
2024-09-11 14:37:05.605710,74122,31196228,421,1567221,3698,5392,11668,19323,25813,0.04548734056933877,0.064159943516447
2024-09-10 14:37:05.605710,70393,46815676,147,692437,4550,5410,11981,19963,33854,0.02660595367513418,0.05254313714242684
2024-09-09 14:37:05.605710,57335,33413967,344,1992645,3220,3281,9098,16009,20966,0.03908884759744467,0.07373364502762857
2024-09-08 14:37:05.605710,83134,46631655,314,1090182,2666,3415,11231,11986,37843,0.024415108997669376,0.06832513989382874
2024-09-07 14:37:05.605710,71872,45026794,121,996134,2688,6882,10209,14594,33511,0.04689019170483024,0.06695925575579695
2024-09-06 14:37:05.605710,66607,37053930,412,900394,3760,4837,11641,16106,37635,0.02614215143210634,0.02451779983412921
2024-09-05 14:37:05.605710,130773,34703131,110,1460889,4405,5219,10858,12874,36502,0.023387267501945416,0.05931637621514706
2024-09-04 14:37:05.605710,109572,45026559,420,907752,3723,6003,10965,13901,31779,0.0368095018092545,0.033556396195962575
2024-09-03 14:37:05.605710,122897,43486443,438,1062599,2040,4814,8297,17374,37543,0.04974840575361171,0.05355506655553513
2024-09-02 14:37:05.605710,110347,45822025,232,1011673,4782,5283,9718,10011,35174,0.028439825548362774,0.02219498135868695
2024-09-01 14:37:05.605710,119607,38599107,154,1868575,4683,3606,10664,10365,36080,0.03556947299587979,0.042572137758191186
2024-08-31 14:37:05.605710,140923,42866280,119,667644,4848,6183,9338,15247,37280,0.04982871552806075,0.06015669487922176
2024-08-30 14:37:05.605710,78143,39273886,484,1296542,4138,5593,9815,17712,24745,0.016496012182800782,0.03161032787286927
2024-08-29 14:37:05.605710,148957,49581813,221,1767084,4526,6014,9751,13602,29246,0.03911699258860068,0.06397042840024032
2024-08-28 14:37:05.605710,87426,44264803,359,606898,4845,3084,9124,19169,29912,0.014978346336438242,0.056032029128005784
2024-08-27 14:37:05.605710,85971,36087581,372,1493638,2386,4292,9300,17928,21902,0.04480473775501152,0.028890026722835756
2024-08-26 14:37:05.605710,147882,42213209,275,897565,2874,4515,11115,19690,23679,0.012757668388469461,0.04783339131920715
2024-08-25 14:37:05.605710,84664,36989606,323,570198,4197,4323,11100,12242,30860,0.04800808635371666,0.06912564548083583
2024-08-24 14:37:05.605710,52505,47769318,134,1001414,4168,5873,11057,18110,31209,0.023949224359372186,0.0241646705792874
2024-08-23 14:37:05.605710,133127,42803797,242,1865199,4775,6817,11765,10612,31654,0.024258616017973297,0.06145585278187769
2024-08-22 14:37:05.605710,73880,33227966,181,1048062,2927,6460,8150,18993,22828,0.030746156624605503,0.028685367597771093
2024-08-21 14:37:05.605710,74857,33778356,295,725815,2549,5197,10282,12931,23788,0.03953442468357661,0.03722550175880124
2024-08-20 14:37:05.605710,55000,44230495,311,649133,4620,5014,9480,15563,30428,0.026696618270833895,0.021026480610722594
2024-08-19 14:37:05.605710,145643,34439699,188,564467,3092,3236,10728,17657,30160,0.013682694701215619,0.03639787757780137
2024-08-18 14:37:05.605710,68139,38240375,358,1337361,4350,3600,11718,10797,33419,0.04764616063205849,0.06954062426104404
2024-08-17 14:37:05.605710,62661,41113387,441,826872,3978,5278,11949,10100,32605,0.04880023217939036,0.02828310895804033
2024-08-16 14:37:05.605710,121816,46838950,276,1362195,4731,3752,8945,18548,20987,0.02857312531024235,0.05418498619786122
2024-08-15 14:37:05.605710,139922,34607823,227,1409979,2424,5652,9062,11110,37968,0.02162563275565338,0.06536503024107762
2024-08-14 14:37:05.605710,98225,45192223,187,1225437,3117,6563,8613,12117,39477,0.04894309258582713,0.038094896060681574
2024-08-13 14:37:05.605710,93009,41169501,289,1966608,3990,6168,11699,17488,23769,0.0368065244707964,0.047132341316502964
2024-08-12 14:37:05.605710,138000,38202750,449,1579764,2532,3436,10258,15323,30387,0.018757148473336566,0.06917742981390836
2024-08-11 14:37:05.605710,54344,43502717,428,1305404,2763,4800,11810,10974,31286,0.03019524478154005,0.024042221496633556
2024-08-10 14:37:05.605710,51923,49500171,459,886881,3231,6386,11251,12634,21768,0.04002121128290714,0.07962571593137734
2024-08-09 14:37:05.605710,143354,36963194,217,1379023,2265,3198,9552,15932,37284,0.023832214842947886,0.024508372321959185
2024-08-08 14:37:05.605710,113623,43801141,140,600455,3332,4132,10660,17832,23412,0.041738694944455035,0.056301218439406095
2024-08-07 14:37:05.605710,91361,42140804,212,812419,2476,4089,8341,15189,27157,0.030193267492783366,0.06106221806227238
2024-08-06 14:37:05.605710,57072,40266186,204,1269511,2844,6979,10384,16965,37269,0.04889182954447474,0.06879657975820501
2024-08-05 14:37:05.605710,129720,42712272,408,1804342,2828,6504,10129,15486,24844,0.04599502489707768,0.061755440069212464
2024-08-04 14:37:05.605710,134938,46685585,278,931419,4044,6121,10742,16180,24336,0.030916627962656602,0.06897310461148545
2024-08-03 14:37:05.605710,143195,30356977,356,513256,4267,3907,9975,10868,26179,0.0222785353369803,0.0700342729651986
2024-08-02 14:37:05.605710,116773,36109592,275,1476890,2252,3526,8562,18884,22197,0.014096953545478276,0.03905373415190811
2024-08-01 14:37:05.605710,136910,45133393,192,1687338,3225,5977,10651,12431,22928,0.04352098673247632,0.05378183541222836
2024-07-31 14:37:05.605710,106804,44770853,320,1045455,3997,3741,8827,14634,32878,0.04010134991364264,0.049116113012532714
2024-07-30 14:37:05.605710,109057,40345620,236,1534281,4544,6941,9198,14860,31225,0.044173111853965163,0.03942692584446621
2024-07-29 14:37:05.605710,122285,33927622,159,927525,3578,3504,11480,10505,22881,0.035449322566615045,0.06290012465625487
2024-07-28 14:37:05.605710,138924,43972001,434,1263313,2493,3488,10755,17805,25075,0.03841747639824174,0.05408950268100296
2024-07-27 14:37:05.605710,83638,48111048,455,955806,4882,6385,10878,13351,35135,0.04966706484034089,0.045293066342217844
2024-07-26 14:37:05.605710,86911,44312135,417,916650,4985,4021,8267,16041,27303,0.02363325867286329,0.029277545567239008
2024-07-25 14:37:05.605710,140808,47845704,422,1889641,4286,5377,10133,18879,27770,0.012804989842834905,0.04783412441979744
2024-07-24 14:37:05.605710,68159,37842094,285,1320371,2218,3952,9426,10385,24365,0.02189957253398018,0.02026511550373131
2024-07-23 14:37:05.605710,51154,36387631,386,917728,4177,4021,8665,18335,38611,0.020899867036925673,0.06362699122772084
2024-07-22 14:37:05.605710,69725,49463687,494,1201484,4480,5992,8269,12421,35380,0.013352041363053818,0.06394108498619809
2024-07-21 14:37:05.605710,145063,45895956,173,1820310,3256,5604,9387,10486,29467,0.04232512844381542,0.050580289924607676
2024-07-20 14:37:05.605710,140191,33683952,338,1955767,4783,5825,9874,14057,26984,0.033856733232486495,0.052916009207712
2024-07-19 14:37:05.605710,115617,49909580,138,621882,2088,5399,9228,19394,28293,0.03148923829197287,0.03665163224861714
2024-07-18 14:37:05.605710,86117,49106248,412,732764,3629,5332,9110,13612,24011,0.01558381808330632,0.04003169787110462
2024-07-17 14:37:05.605710,141452,39506303,384,1543980,3692,3153,9154,11948,35223,0.01675138892113337,0.0525457238454386
2024-07-16 14:37:05.605710,120604,47084678,271,1938028,2917,4291,10782,17921,33228,0.023886980511633196,0.02910625692843192
2024-07-15 14:37:05.605710,142177,37586911,368,1602262,3054,3034,11678,15922,39158,0.04577349200990339,0.056563258326878085
2024-07-14 14:37:05.605710,59003,44045612,254,1959089,3647,5124,10453,15266,26165,0.03929100967097326,0.072365697837564
2024-07-13 14:37:05.605710,144204,43208552,368,1025473,2599,5378,10114,11564,22764,0.036523750197721784,0.07282028936793006
2024-07-12 14:37:05.605710,93219,42278605,185,1505518,3808,3724,8545,18143,27941,0.027211444903676926,0.07717038990341483
2024-07-11 14:37:05.605710,94749,48671612,157,1800107,4666,5113,9029,11511,26139,0.02119177037455168,0.03981126458845133
2024-07-10 14:37:05.605710,103912,38187650,442,766234,4107,6679,9965,12497,20495,0.0498399897805125,0.06497448558785782
2024-07-09 14:37:05.605710,51486,44226809,377,914185,4803,6853,9449,17893,31635,0.010751199013017328,0.029847691028895222
2024-07-08 14:37:05.605710,51826,35204169,485,1312806,2571,6721,11921,12082,31869,0.023896533010212613,0.07641025026988872
2024-07-07 14:37:05.605710,73824,46972105,369,1321696,2043,6164,10255,10057,29548,0.024793469563744737,0.034677708316418976
2024-07-06 14:37:05.605710,71406,34711704,255,1429534,3422,5832,10427,18461,21078,0.04366816718775218,0.07303635411429991
2024-07-05 14:37:05.605710,94140,34065595,294,684466,4254,5184,9517,16199,38609,0.04922564001226853,0.028095938568804078
2024-07-04 14:37:05.605710,131905,40434797,105,1405553,4622,6287,9476,10576,35753,0.016697929921548473,0.031095506845686252
2024-07-03 14:37:05.605710,128791,40048552,113,1722734,4824,5611,8759,18786,22583,0.031937161284799336,0.04243317065102796
2024-07-02 14:37:05.605710,139369,45616414,267,1160422,2946,3053,8194,19385,26182,0.03524801100453123,0.03048932105176809
2024-07-01 14:37:05.605710,119802,46350120,411,834646,3284,4694,8234,13687,29315,0.04528658144824964,0.07733303073161166
2024-06-30 14:37:05.605710,103192,40287853,458,1952776,4853,6803,9880,19902,27715,0.04421168865777766,0.06014637720524754
2024-06-29 14:37:05.605710,51249,39029818,431,1907535,4488,5860,10773,19890,22169,0.0304924037283833,0.07340092893591693
2024-06-28 14:37:05.605710,99354,42686288,368,1175683,4042,3014,8894,12949,25183,0.03272391077773454,0.021587094734978992
2024-06-27 14:37:05.605710,74915,39555777,386,1660835,3273,6207,9499,18566,38133,0.02005521589008958,0.02826126004220791
2024-06-26 14:37:05.605710,135067,38836898,205,622629,4922,6782,11003,18384,28235,0.03744920687148674,0.047560864110186125
2024-06-25 14:37:05.605710,132161,40567781,483,961536,2594,3855,8113,13980,32769,0.031142222387784232,0.06613568733689555
2024-06-24 14:37:05.605710,52557,39302413,185,1483845,2839,3806,8208,10486,26193,0.047275334667293445,0.04599618733429617
2024-06-23 14:37:05.605710,52039,48863443,457,1769629,2057,6783,8212,14212,30376,0.0396633037665982,0.06076709703540113
2024-06-22 14:37:05.605710,106781,37346113,182,1868732,3758,4714,9261,11970,39729,0.041539540051320246,0.049319513923301105
2024-06-21 14:37:05.605710,149885,47817120,454,1806343,4621,3960,8949,11768,29411,0.04866184966263576,0.021959788117538768
2024-06-20 14:37:05.605710,104980,46143457,220,1970554,4047,3267,9173,15491,21819,0.033197975635124236,0.05077825030356489
2024-06-19 14:37:05.605710,145535,36518971,403,1041712,3786,6818,9323,14774,27795,0.03070885901586226,0.06574339819965662
2024-06-18 14:37:05.605710,116636,44877975,184,1145228,2349,6588,10226,10271,21189,0.04295527260729368,0.07210040991860152
2024-06-17 14:37:05.605710,76684,39818832,284,1602851,4411,5199,8215,16947,31096,0.04950969693768666,0.054844155181601684
2024-06-16 14:37:05.605710,137005,47880976,408,1840637,4977,5041,11940,10688,27344,0.023165071075492948,0.06545704531480703
2024-06-15 14:37:05.605710,81879,44495885,268,1511878,3206,3812,9245,12625,31327,0.03171002215101932,0.032313090954453644
2024-06-14 14:37:05.605710,120093,33800213,165,1240704,4352,5898,10359,11484,29599,0.018026948349673715,0.07333598303186
2024-06-13 14:37:05.605710,138723,48893185,487,988081,2047,3155,10810,14639,20109,0.02671029652660034,0.03912742586588884
2024-06-12 14:37:05.605710,93543,32581561,122,739253,2535,5648,11442,15552,39469,0.018148385721818205,0.05496977848154387
2024-06-11 14:37:05.605710,104876,31771907,380,1279303,3482,4482,9042,19801,38243,0.02639263182888519,0.051333703622959956
2024-06-10 14:37:05.605710,83861,49269127,383,698525,4486,6973,9145,17256,23927,0.04944413872075997,0.05362547203097821
2024-06-09 14:37:05.605710,115716,40474621,448,1975478,2505,4601,8780,14152,29148,0.01092767979001533,0.04559511228478423
2024-06-08 14:37:05.605710,89851,32432487,377,1128591,4378,3186,9008,10749,23065,0.02096905055557064,0.060251200796566595
2024-06-07 14:37:05.605710,104478,33567079,373,659673,3787,5326,11319,12545,24699,0.023309215386867387,0.051931113804099066
2024-06-06 14:37:05.605710,105934,37603436,440,1619564,3470,5490,8464,19332,24994,0.03407640948026923,0.032536322917622734
2024-06-05 14:37:05.605710,120789,46566689,434,595893,2016,4112,9519,11925,37458,0.028475770685230023,0.06866145614170599
2024-06-04 14:37:05.605710,103041,37507745,452,1334968,3406,4794,9883,17497,27776,0.0374099096801473,0.06463777079125829
2024-06-03 14:37:05.605710,55521,34972803,394,591116,4567,5196,10230,18754,34660,0.026785683170357774,0.0636629113717272
2024-06-02 14:37:05.605710,139692,30882151,189,805530,3890,6850,8093,11759,31361,0.04325105375215538,0.0656239113127453
2024-06-01 14:37:05.605710,112846,38852166,375,1288360,2132,3966,11960,14959,23743,0.03208203284297055,0.04917639311500378
2024-05-31 14:37:05.605710,74450,46327545,272,1236449,2649,5998,11820,14710,25557,0.04514400831533649,0.02397467169860506
2024-05-30 14:37:05.605710,59406,40001572,293,1747179,2149,4054,11086,16537,31657,0.04771887787451198,0.038736341078872326
2024-05-29 14:37:05.605710,91667,39060297,249,1801647,2398,6854,9933,11104,34455,0.018331238623246513,0.06219152743746964
2024-05-28 14:37:05.605710,86981,33830336,206,1588015,2950,5850,9692,17601,24589,0.03406889176616949,0.020650218141720623
2024-05-27 14:37:05.605710,123992,37249439,315,1906156,2223,3325,10225,10558,27003,0.020198039209807225,0.05713585662792743
2024-05-26 14:37:05.605710,69666,41131972,196,1251029,2597,5562,9092,13623,30523,0.04718553846914102,0.04812230092093597
2024-05-25 14:37:05.605710,95962,45433037,354,1916538,4017,4725,11011,16194,36823,0.0496416601871538,0.039644945912608115
2024-05-24 14:37:05.605710,77686,43756636,341,1372184,2547,4507,10864,18594,39492,0.028282878022072654,0.05272830034480823
2024-05-23 14:37:05.605710,67308,35733155,205,1772654,4007,4189,8771,19520,38790,0.048795465690076846,0.052600869631655375
2024-05-22 14:37:05.605710,76068,36290933,388,1303456,3484,3759,11493,12900,24212,0.042152001906660824,0.047570504976575355
2024-05-21 14:37:05.605710,75772,41000930,320,847895,3521,6078,9290,13315,37139,0.02201472657166581,0.03655447772613034
2024-05-20 14:37:05.605710,112401,49355249,233,1874198,2074,5444,9659,17400,37369,0.02750008914511596,0.038205350223061096
2024-05-19 14:37:05.605710,52111,46591614,320,1948765,3380,4085,8167,12384,29608,0.032484126706425816,0.03868310898159752
2024-05-18 14:37:05.605710,106864,44234928,178,1604260,3411,6953,9646,12140,29899,0.03256418368858147,0.04532601880396316
2024-05-17 14:37:05.605710,61660,42154218,444,1226535,3206,4847,8458,18616,27696,0.012626779202786018,0.026152123705147582
2024-05-16 14:37:05.605710,78428,48928786,498,686243,3947,5131,9295,14115,21932,0.028624060419004914,0.045095721497462785
2024-05-15 14:37:05.605710,51481,41238162,491,1266953,2490,6894,11977,11650,31237,0.04473836876993088,0.030603294689726106
2024-05-14 14:37:05.605710,107007,43014487,474,1231180,2708,6960,10513,13484,28507,0.027458685019733226,0.029948305795033874
2024-05-13 14:37:05.605710,135486,43933699,366,1599370,3325,6551,9971,17922,37029,0.021109517023305813,0.05286576240236558
2024-05-12 14:37:05.605710,102426,33381827,231,1904805,2283,3247,9888,12911,35793,0.015358466964421114,0.027130537676745635
2024-05-11 14:37:05.605710,121719,42885100,290,775345,3170,5872,8519,14123,24536,0.03186693439366629,0.02435884591399791
